iso3;anio;valor_en_porcentaje
DZA;1965;4.7630677
ARG;1965;1.1026944
AUS;1965;5.5626216
AUT;1965;25.096405
BEL;1965;0.19477375
BRA;1965;27.548725
BGR;1965;4.931371
CAN;1965;25.164799
CHL;1965;16.141762
CHN;1965;4.253407
COL;1965;10.729045
CZE;1965;1.4077874
EGY;1965;5.587894
FRA;1965;10.77933
DEU;1965;1.6256839
HUN;1965;0.11989387
IND;1965;9.149455
IDN;1965;6.385929
IRN;1965;5.2250767
ITA;1965;15.472531
JPN;1965;12.338977
LUX;1965;0.61123115
MEX;1965;8.934724
MAR;1965;20.195011
NLD;1965;0
PAK;1965;7.8989325
PER;1965;14.111191
POL;1965;0.35209695
ROU;1965;1.0662187
SAU;1965;0
SVK;1965;6.1526546
ZAF;1965;0.030886449
TWN;1965;10.868428
OWID_USS;1965;3.5576594
GBR;1965;2.442916
USA;1965;4.4445095
VEN;1965;2.1140683
OWID_WRL;1965;6.620816
DZA;1966;3.518747
ARG;1966;1.0818663
AUS;1966;5.0718946
AUT;1966;25.840193
BEL;1966;0.22650358
BRA;1966;27.618214
BGR;1966;4.6229753
CAN;1966;26.227749
CHL;1966;15.867013
CHN;1966;3.9831228
COL;1966;10.590929
CZE;1966;1.3170925
EGY;1966;5.5950437
FRA;1966;11.897502
DEU;1966;1.7668713
HUN;1966;0.15773733
IND;1966;9.270713
IDN;1966;8.36461
IRN;1966;5.151487
ITA;1966;14.876864
JPN;1966;11.733366
LUX;1966;0.57401025
MEX;1966;9.63311
MAR;1966;13.327539
NLD;1966;0
PAK;1966;7.8401723
PER;1966;12.449849
POL;1966;0.35020763
ROU;1966;1.0295304
SAU;1966;0
SVK;1966;5.695992
ZAF;1966;0.029866165
TWN;1966;10.4390545
OWID_USS;1966;3.770632
GBR;1966;3.040986
USA;1966;4.279533
VEN;1966;2.1339142
OWID_WRL;1966;6.74608
DZA;1967;4.291954
ARG;1967;1.0765308
AUS;1967;4.9495487
AUT;1967;26.118929
BEL;1967;0.23236643
BRA;1967;27.880291
BGR;1967;4.0036206
CAN;1967;25.638502
CHL;1967;15.8887
CHN;1967;3.818398
COL;1967;11.202192
CZE;1967;1.2057945
EGY;1967;7.041625
FRA;1967;9.949951
DEU;1967;1.7753115
HUN;1967;0.13554126
IND;1967;10.058605
IDN;1967;9.505836
IRN;1967;5.0412226
ITA;1967;13.2155075
JPN;1967;8.871291
LUX;1967;0.6577615
MEX;1967;10.29133
MAR;1967;11.18483
NLD;1967;0
PAK;1967;8.392018
PER;1967;13.701914
POL;1967;0.3647668
ROU;1967;1.3156693
SAU;1967;0
SVK;1967;4.855119
ZAF;1967;0.020714175
TWN;1967;9.467523
OWID_USS;1967;3.4704354
GBR;1967;3.4573169
USA;1967;4.687128
VEN;1967;2.3735323
OWID_WRL;1967;6.679294
DZA;1968;5.4861946
ARG;1968;1.2272897
AUS;1968;4.8654675
AUT;1968;25.099167
BEL;1968;0.19221336
BRA;1968;25.555754
BGR;1968;2.3115647
CAN;1968;24.632303
CHL;1968;13.367759
CHN;1968;4.458871
COL;1968;12.023638
CZE;1968;0.89475876
EGY;1968;9.956792
FRA;1968;10.6739235
DEU;1968;1.7341964
HUN;1968;0.14179073
IND;1968;10.8575325
IDN;1968;11.010139
IRN;1968;4.9317336
ITA;1968;12.211649
JPN;1968;8.5672655
LUX;1968;0.621158
MEX;1968;10.842833
MAR;1968;11.826925
NLD;1968;0.015150955
PAK;1968;8.885178
PER;1968;14.438607
POL;1968;0.35622162
ROU;1968;1.3085219
SAU;1968;0
SVK;1968;4.0370173
ZAF;1968;0.018117523
CHE;1968;39.6735
TWN;1968;12.089816
OWID_USS;1968;3.9467227
GBR;1968;3.5381756
USA;1968;4.55479
VEN;1968;3.6946754
OWID_WRL;1968;6.6903105
DZA;1969;3.1827633
ARG;1969;1.0651326
AUS;1969;5.086988
AUT;1969;22.27537
BEL;1969;0.14537379
BRA;1969;25.05622
BGR;1969;2.9225402
CAN;1969;25.60727
CHL;1969;13.999327
CHN;1969;3.7274022
COL;1969;13.203888
CZE;1969;0.7005399
EGY;1969;16.08243
FRA;1969;10.249425
DEU;1969;1.5954081
HUN;1969;0.14133148
IND;1969;11.137484
IDN;1969;10.201887
IRN;1969;4.837112
ITA;1969;10.840629
JPN;1969;7.7167706
LUX;1969;0.50225776
MEX;1969;10.4753
MAR;1969;13.944498
NLD;1969;0.152845
PAK;1969;9.32975
PER;1969;15.602732
POL;1969;0.28452122
ROU;1969;1.6154395
SAU;1969;0
SVK;1969;3.0090575
ZAF;1969;0.015396576
ESP;1969;18.939919
CHE;1969;37.368385
TWN;1969;9.123023
OWID_USS;1969;4.190106
GBR;1969;3.6926992
USA;1969;4.835468
VEN;1969;4.2418756
OWID_WRL;1969;6.6726766
DZA;1970;4.6656837
ARG;1970;1.3533598
AUS;1970;5.421451
AUT;1970;24.770256
BEL;1970;0.16478363
BRA;1970;27.117094
BGR;1970;3.0394952
CAN;1970;25.18255
CHL;1970;14.19122
CHN;1970;3.0095923
COL;1970;13.413398
CZE;1970;0.9598853
EGY;1970;15.164636
FRA;1970;10.436109
DEU;1970;2.0274239
HUN;1970;0.12151648
IND;1970;12.270132
IDN;1970;11.57067
IRN;1970;4.4152985
ITA;1970;10.050793
JPN;1970;7.233779
LUX;1970;0.53466296
MYS;1970;8.029954
MEX;1970;10.981713
MAR;1970;13.103196
NLD;1970;0.15826146
NZL;1970;38.82334
PAK;1970;8.390381
PER;1970;14.4538965
POL;1970;0.5491499
ROU;1970;1.8980381
SAU;1970;0
SVK;1970;4.1029906
ZAF;1970;0.017539408
ESP;1970;16.054634
CHE;1970;36.64664
TWN;1970;7.867682
OWID_USS;1970;4.3159747
GBR;1970;3.4190855
